"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"1","AARONS",0.122727272727273,11,5.45454545454545,"Verona","C",5.5,1.57894736842105
"4","ACQUAH",0.673701298701299,22,5.93181818181818,"Torino","C",6,3.43421052631579
"11","ALLAN",1.83445945945946,38,6.75,"Napoli","C",6.25,6.75
"13","ALVAREZ R",1.70265151515152,12,6.04166666666667,"Sampdoria","C",6,1.90789473684211
"28","BADELJ",1.38746438746439,27,6.18518518518519,"Fiorentina","C",6,4.39473684210527
"30","BALIC",0.261904761904762,21,5.69047619047619,"Udinese","C",6,3.14473684210526
"33","BARAK",4.76114081996435,34,6.76470588235294,"Udinese","C",6,6.05263157894737
"34","BARBERIS",1.29605263157895,38,5.85526315789474,"Crotone","C",5.5,5.85526315789474
"35","BARELLA",2.36385918003565,34,6.69117647058824,"Cagliari","C",6,5.98684210526316
"41","BASELLI",2.07963709677419,32,6.21875,"Torino","C",6,5.23684210526316
"43","BASTIEN",1.025,21,6,"Chievo","C",6,3.31578947368421
"47","BEHRAMI",1.0125,20,6.225,"Udinese","C",6,3.27631578947368
"50","BENALI",1.89166666666667,10,6.35,"Crotone","C",6,1.67105263157895
"51","BENASSI",2.95252100840336,35,6.34285714285714,"Fiorentina","C",5.5,5.84210526315789
"53","BENTANCUR",0.0947368421052632,20,5.9,"Juventus","C",6,3.10526315789474
"55","BERENGUER",1.31872294372294,22,6.15909090909091,"Torino","C",6,3.56578947368421
"58","BERNARDESCHI",2.98755411255411,22,7.02272727272727,"Juventus","C",6,4.06578947368421
"59","BERTOLACCI",0.892518939393939,33,5.92424242424242,"Genoa","C",6,5.14473684210526
"60","BESSA",2.65707671957672,28,6.23214285714286,"Genoa","C",6,4.5921052631579
"62","BIGLIA",1.04596560846561,28,5.98214285714286,"Milan","C",6,4.40789473684211
